id,title,address,latitude,longitude,description,body,photourl
ACAD,Academic Center,"1804 Liberty Ave, Ironton, OH 45638",38.52477872,-82.66687449,Ohio University Southern Academic Center,,
COLL,Collins Center,"1804 Liberty Ave, Ironton, OH 45638",38.52491319,-82.6661728,Ohio University Southern Collins Center,,
DNGS,Dingus Technology Center,"1804 Liberty Ave, Ironton, OH 45638",38.52443608,-82.66728891,Ohio University Southern Dingus Technology Center,,
VERN,Verne Riffe Center,"1804 Liberty Ave, Ironton, OH 45638",38.52537926,-82.66697339,Ohio University Southern Verne Riffe Center,,
