id,title,address,latitude,longitude,description,body,photourl
BENN,Bennett Hall,"101 University Dr, Chillicothe, OH 45601",39.32860022,-83.00405024,Ohio University Chillicothe Bennett Hall,,
CDFS,Child Development & Family Service Center,"101 University Dr, Chillicothe, OH 45601",39.32930524,-82.99873714,Ohio University Chillicothe Child Development & Family Service Center,,
CTEC,Technology & Business Development Center,"22 Pohlman Rd, Chillicothe, OH 45601",39.33048248,-82.99861473,Ohio University Chillicothe Technology & Business Development Center,,
SHOE,Shoemaker Center,"101 University Dr, Chillicothe, OH 45601",39.32949938,-83.00192806,Ohio University Chillicothe Shoemaker Center,,
STEV,Stevenson Center,"101 University Dr, Chillicothe, OH 45601",39.32837164,-83.00536586,Ohio University Chillicothe Stevenson Center,,
